#ImageName	Window	Conf	MajorAx	Perim	Area
1308805.TIF	2	0.05	31.83	199.83	319
1308805.TIF	3	0.06	49.50	202.79	339
1308805.TIF	4	0.09	38.65	174.90	455
1308805.TIF	5	0.13	48.90	176.04	806
1308805.TIF	6	0.02	74.77	436.67	1899
1308805.TIF	7	0.22	53.27	223.37	662
1308805.TIF	8	0.04	41.20	228.39	1082
1308805.TIF	9	0.00	40.51	266.10	360
1308805.TIF	10	0.04	74.19	766.48	1738
1308805.TIF	11	0.06	33.86	172.94	560
1308805.TIF	12	0.43	52.30	200.02	799
1308805.TIF	13	0.03	33.50	179.32	511
1308805.TIF	14	0.35	39.21	167.47	404
1308805.TIF	15	0.03	41.39	276.19	429
1308805.TIF	16	0.01	57.49	245.74	569
1308805.TIF	17	0.75	66.01	256.90	549
1308805.TIF	18	0.02	84.80	669.71	1207
1308805.TIF	19	0.02	40.65	214.05	579
1308805.TIF	20	0.10	62.71	280.81	509
1308805.TIF	21	0.11	40.54	204.17	449
1308805.TIF	22	0.04	39.68	284.12	327
1308805.TIF	23	0.01	65.92	636.57	1091
1308805.TIF	24	0.01	39.88	177.08	317
1308805.TIF	25	0.31	32.08	97.15	335
1308805.TIF	26	0.07	39.55	203.84	509
1308805.TIF	27	0.05	48.26	261.61	749
1308805.TIF	28	0.92	41.71	219.86	1028
1308805.TIF	29	0.01	48.25	315.92	507
1308805.TIF	30	0.55	32.76	162.29	475
1308805.TIF	31	0.11	37.63	175.13	535
1308805.TIF	32	0.55	65.58	216.12	784
1308805.TIF	33	0.41	75.54	319.28	670
1308805.TIF	34	0.13	53.26	195.46	327
1308805.TIF	35	0.18	46.44	140.62	424
1308805.TIF	36	0.11	41.06	194.68	590
1308805.TIF	37	0.03	37.04	239.66	402
1308805.TIF	38	0.09	61.55	406.41	679
1308806.TIF	1	0.10	105.19	369.52	1375
1308806.TIF	2	0.24	42.24	141.72	419
1308806.TIF	3	0.10	54.05	197.67	735
1308806.TIF	4	0.06	54.75	230.87	758
1308806.TIF	5	0.08	50.23	229.03	555
1308806.TIF	6	0.10	36.51	175.85	473
1308806.TIF	7	0.17	136.95	480.00	1580
1308806.TIF	8	0.05	92.73	420.77	964
1308806.TIF	9	0.06	121.08	542.09	1583
1308806.TIF	10	0.14	99.68	274.04	472
1308806.TIF	11	0.10	30.17	168.45	400
1308806.TIF	12	0.45	27.89	154.73	321
1308806.TIF	13	0.98	50.82	222.11	679
1308806.TIF	14	0.02	49.73	234.37	468
1308806.TIF	15	0.43	31.70	160.91	469
1308806.TIF	16	0.03	24.07	109.24	323
1308806.TIF	17	0.09	40.87	184.54	656
1308806.TIF	18	0.16	48.94	191.38	377
1308806.TIF	19	0.10	35.98	257.90	606
1308806.TIF	20	0.03	60.16	323.55	877
1308806.TIF	21	0.08	37.35	190.51	575
1308806.TIF	22	0.01	39.85	227.61	478
1308806.TIF	23	0.20	44.21	245.42	380
1308806.TIF	24	0.02	34.25	132.04	436
1308807.TIF	1	0.22	27.84	110.80	429
1308807.TIF	2	0.07	47.09	251.33	432
1308807.TIF	3	0.20	46.15	216.24	365
1308807.TIF	4	0.07	40.67	131.73	363
1308807.TIF	5	0.00	61.93	298.66	456
1308807.TIF	6	0.16	47.57	283.51	634
1308807.TIF	7	0.28	33.46	160.36	431
1308807.TIF	8	0.92	38.06	161.68	367
1308807.TIF	9	0.03	45.27	190.12	805
1308807.TIF	10	0.07	39.85	223.58	583
1308807.TIF	11	0.09	44.30	375.72	464
1308807.TIF	12	0.03	38.60	204.83	394
1308807.TIF	13	0.02	42.42	304.23	616
1308807.TIF	14	0.11	43.28	236.10	450
1308807.TIF	15	0.03	51.36	212.41	375
1308807.TIF	16	0.02	39.09	168.66	347
1308807.TIF	17	0.01	34.84	207.84	342
1308807.TIF	18	0.10	53.66	287.59	755
1308807.TIF	19	0.07	40.35	236.69	1003
1308807.TIF	20	0.04	29.74	196.84	374
1308807.TIF	21	0.79	42.77	218.28	1006
1308807.TIF	22	0.02	32.06	200.03	385
1308807.TIF	23	0.08	43.64	183.19	311
1308807.TIF	24	0.15	33.86	142.36	391
1308807.TIF	25	0.02	59.69	231.80	307
1308807.TIF	26	0.13	34.11	208.23	491
1308807.TIF	27	0.03	48.71	337.40	714
1308807.TIF	28	0.02	48.09	230.79	381
1308807.TIF	29	0.13	65.94	415.82	1636
1308807.TIF	30	0.03	41.41	366.93	375
1308807.TIF	31	0.06	35.60	185.10	319
1308808.TIF	1	0.06	30.25	163.22	328
1308808.TIF	2	0.03	40.53	175.34	451
1308808.TIF	3	0.16	40.17	275.51	339
1308808.TIF	4	0.02	28.10	121.44	352
1308808.TIF	5	0.20	58.67	216.39	386
1308808.TIF	6	0.20	38.11	152.36	377
1308808.TIF	7	0.01	52.81	255.51	348
1308808.TIF	8	0.04	40.26	228.37	398
1308808.TIF	9	0.05	56.78	392.61	863
1308808.TIF	10	0.01	60.07	363.56	1288
1308808.TIF	11	0.02	35.09	178.60	393
1308808.TIF	12	0.01	35.42	173.34	403
1308808.TIF	13	0.23	77.08	323.63	1469
1308808.TIF	14	0.03	36.99	202.10	571
1308808.TIF	15	0.06	72.02	240.52	406
1308808.TIF	16	0.01	56.81	434.87	543
1308808.TIF	17	0.01	39.65	202.69	666
1308808.TIF	18	0.16	47.03	208.65	827
1308808.TIF	19	0.03	49.68	313.74	423
1308808.TIF	20	0.09	57.96	259.76	1016
1308808.TIF	21	0.05	38.11	232.60	582
1308808.TIF	22	0.04	80.97	203.65	1231
1308808.TIF	23	0.06	33.71	141.96	387
1308808.TIF	24	0.04	37.53	210.97	350
1308808.TIF	25	0.05	40.12	168.49	409
1308808.TIF	26	0.01	33.31	173.08	486
1308808.TIF	27	0.01	37.78	177.65	754
1308808.TIF	28	0.02	56.94	201.24	369
1308808.TIF	29	0.57	49.73	248.18	1046
1308808.TIF	30	0.04	44.66	208.54	409
1308808.TIF	31	0.09	37.35	165.93	468
1308808.TIF	32	0.08	59.20	239.24	329
1308808.TIF	33	0.07	57.09	315.53	600
1308808.TIF	34	0.02	77.01	458.40	1316
1308808.TIF	35	0.08	107.49	716.72	1099
1308809.TIF	1	0.17	32.43	216.18	376
1308809.TIF	2	0.07	48.78	196.28	513
1308809.TIF	3	0.09	43.55	237.41	593
1308809.TIF	4	0.29	80.46	286.80	1311
1308809.TIF	5	0.09	50.51	234.01	334
1308809.TIF	6	0.05	39.61	147.97	329
1308809.TIF	7	0.54	59.82	239.77	621
1308809.TIF	8	0.02	39.59	226.18	377
1308809.TIF	9	0.02	36.27	226.42	436
1308809.TIF	10	0.05	56.71	208.97	573
1308809.TIF	11	0.72	41.58	236.13	748
1308809.TIF	12	0.05	75.97	337.07	1105
1308809.TIF	13	0.07	27.09	93.12	304
1308809.TIF	14	0.06	47.74	270.32	803
1308809.TIF	15	0.03	45.23	377.32	845
1308809.TIF	16	0.04	62.63	383.13	555
1308809.TIF	17	0.12	64.63	356.31	657
1308809.TIF	18	0.07	35.74	169.72	435
1308809.TIF	19	0.02	36.73	168.50	340
1308809.TIF	20	0.35	47.28	266.20	877
1308809.TIF	21	0.99	73.58	300.42	1245
1308809.TIF	22	0.03	49.72	225.69	673
1308809.TIF	23	0.15	43.25	242.15	919
1308809.TIF	24	0.05	59.06	283.48	717
1308809.TIF	25	0.07	38.31	212.26	322
1308810.TIF	1	0.09	46.38	243.44	705
1308810.TIF	2	0.03	32.12	180.54	321
1308810.TIF	3	0.04	37.03	162.11	525
1308810.TIF	4	0.09	36.20	134.32	303
1308810.TIF	5	0.25	53.74	282.52	525
1308810.TIF	6	0.12	94.01	483.74	1402
1308810.TIF	7	0.99	47.92	313.66	824
1308810.TIF	8	0.08	26.93	108.69	441
1308810.TIF	9	0.03	36.37	106.81	323
1308810.TIF	10	0.11	47.59	292.69	607
1308810.TIF	11	0.72	71.86	326.29	1338
1308810.TIF	12	0.20	53.66	233.71	609
1308810.TIF	13	0.92	51.08	268.70	648
1308810.TIF	14	0.02	48.47	211.57	371
1308810.TIF	15	0.04	39.36	234.93	439
1308810.TIF	16	0.05	41.07	198.42	647
1308810.TIF	17	0.05	40.93	204.49	342
1308810.TIF	18	0.07	46.62	168.54	427
1308810.TIF	19	0.30	46.91	222.22	350
1308810.TIF	20	0.03	42.82	198.97	328
1308810.TIF	21	0.16	32.43	226.61	380
1308810.TIF	22	0.01	33.30	199.31	343
1308810.TIF	23	0.01	38.67	244.47	789
1308810.TIF	24	0.06	65.80	344.95	803
1308810.TIF	25	0.92	49.71	303.73	887
1308810.TIF	26	0.04	41.75	209.05	412
1308810.TIF	27	0.14	46.67	279.26	454
1308810.TIF	28	0.27	39.70	199.20	667
1308810.TIF	29	0.08	66.19	354.08	768
1308811.TIF	1	0.25	42.23	140.35	329
1308811.TIF	2	0.18	38.10	237.36	430
1308811.TIF	3	0.13	40.37	266.14	397
1308811.TIF	4	0.04	42.69	158.46	314
1308811.TIF	5	0.14	53.64	194.41	374
1308811.TIF	6	0.76	51.42	297.78	920
1308811.TIF	7	0.08	34.35	163.44	322
1308811.TIF	8	0.02	56.45	378.01	733
1308811.TIF	9	0.01	44.28	285.52	386
1308811.TIF	10	0.57	52.16	281.20	799
1308811.TIF	11	0.14	33.32	102.86	356
1308811.TIF	12	0.01	36.67	148.31	329
1308811.TIF	13	0.05	39.71	169.30	316
1308811.TIF	14	0.28	50.50	294.69	1023
1308811.TIF	15	0.01	68.61	381.85	551
1308811.TIF	16	0.01	57.19	315.63	565
1308811.TIF	17	0.01	41.79	188.52	469
1308811.TIF	18	0.05	30.23	145.86	319
1308811.TIF	19	0.70	49.89	294.09	881
1308811.TIF	20	0.04	41.13	212.53	544
1308811.TIF	21	0.06	38.85	192.89	739
1308811.TIF	22	0.06	42.79	216.88	337
1308811.TIF	23	0.08	28.52	155.77	340
1308811.TIF	24	0.08	28.67	189.68	382
1308811.TIF	25	0.03	40.29	175.07	316
1308812.TIF	1	0.05	44.75	171.19	876
1308812.TIF	2	0.02	34.64	191.80	366
1308812.TIF	3	0.03	41.58	332.95	470
1308812.TIF	4	0.38	149.55	591.37	1806
1308812.TIF	5	0.03	25.82	115.48	313
1308812.TIF	6	0.06	75.98	359.63	1116
1308812.TIF	7	0.06	51.54	298.61	781
1308812.TIF	8	0.04	48.22	314.84	611
1308812.TIF	9	0.03	123.07	577.59	1574
1308812.TIF	10	0.02	69.41	430.14	1043
1308812.TIF	11	0.02	54.84	285.80	582
1308812.TIF	12	0.09	123.82	573.20	1312
1308812.TIF	13	0.05	44.47	263.58	446
1308812.TIF	14	0.06	62.08	369.25	925
1308812.TIF	15	0.00	49.63	268.30	511
1308812.TIF	16	0.13	35.09	214.51	387
1308812.TIF	17	0.06	73.46	602.62	921
1308812.TIF	18	0.13	37.26	237.73	433
1308812.TIF	19	0.14	43.52	120.15	553
1308813.TIF	1	0.06	42.80	171.37	621
1308813.TIF	2	0.16	47.86	304.40	658
1308813.TIF	3	0.11	43.88	259.27	1086
1308813.TIF	4	0.23	36.74	192.52	363
1308813.TIF	5	0.01	60.49	431.91	1134
1308813.TIF	6	0.17	82.14	306.67	1256
1308813.TIF	7	0.31	78.83	376.96	936
1308813.TIF	8	0.01	50.11	201.52	1065
1308813.TIF	9	0.04	44.15	248.46	341
1308813.TIF	10	0.07	35.82	189.87	689
1308813.TIF	11	0.06	33.65	117.32	392
1308813.TIF	12	0.02	40.03	186.12	327
1308813.TIF	13	0.14	34.49	102.79	645
1308813.TIF	14	0.05	72.37	362.10	638
1308813.TIF	15	0.04	58.91	241.56	473
1308813.TIF	16	0.12	33.37	170.54	317
1308813.TIF	17	0.42	34.27	175.61	439
1308813.TIF	18	0.02	38.91	344.61	563
1308813.TIF	19	0.01	44.58	213.50	468
1308813.TIF	20	0.45	87.11	418.79	1226
1308813.TIF	21	0.10	42.75	315.25	403
1308813.TIF	22	0.06	38.57	313.68	441
1308813.TIF	23	0.04	64.18	241.84	463
1308813.TIF	24	0.30	56.55	205.37	703
1308813.TIF	25	0.01	39.07	230.45	516
1308813.TIF	26	0.32	53.57	198.87	701
1308813.TIF	27	0.04	29.71	106.51	404
1308813.TIF	28	0.03	30.86	160.07	462
1308813.TIF	29	0.02	55.61	346.82	679
1308813.TIF	30	0.01	62.24	262.68	1835
1308813.TIF	31	0.17	43.51	183.83	370
1308813.TIF	32	0.05	29.93	180.84	320
1308813.TIF	33	0.11	33.61	130.54	406
1308814.TIF	1	0.20	58.75	285.06	1050
1308814.TIF	2	0.01	121.85	512.53	1454
1308814.TIF	3	0.05	90.78	539.96	1058
1308814.TIF	4	0.00	48.88	380.76	531
1308814.TIF	5	0.04	29.43	121.81	488
1308814.TIF	6	0.06	67.98	231.38	361
1308814.TIF	7	0.05	57.92	228.76	496
1308814.TIF	8	0.03	37.71	145.46	544
1308814.TIF	9	0.01	35.90	207.39	310
1308814.TIF	10	0.07	80.27	279.07	501
1308814.TIF	11	0.02	46.92	239.35	774
1308814.TIF	12	0.13	83.00	237.47	598
1308814.TIF	13	0.01	49.52	274.01	309
1308814.TIF	14	0.53	66.92	337.01	1345
1308814.TIF	15	0.31	49.04	213.37	608
1308814.TIF	16	0.03	42.78	140.18	325
1308814.TIF	17	0.01	48.08	215.47	444
1308814.TIF	18	0.03	32.20	128.63	407
1308814.TIF	19	0.68	39.45	202.42	630
1308814.TIF	20	0.05	35.12	249.24	406
1308814.TIF	21	0.05	72.75	380.42	2459
1308814.TIF	22	0.01	54.39	297.73	469
1308814.TIF	23	0.20	60.91	312.47	749
1308815.TIF	1	0.09	29.11	122.96	404
1308815.TIF	2	0.19	37.96	134.72	670
1308815.TIF	3	0.05	41.65	180.59	431
1308815.TIF	4	0.05	54.91	249.85	686
1308815.TIF	5	0.06	43.19	175.34	559
1308815.TIF	6	0.05	37.29	204.91	513
1308815.TIF	7	0.01	88.76	914.12	1905
1308815.TIF	8	0.02	34.64	153.68	506
1308815.TIF	9	0.04	33.76	168.23	330
1308815.TIF	10	0.03	110.71	626.15	1176
1308815.TIF	11	0.02	100.60	595.01	1457
1308815.TIF	12	0.03	72.24	323.80	593
1308815.TIF	13	0.04	32.60	239.01	358
1308815.TIF	14	0.01	38.80	174.88	350
1308815.TIF	15	0.06	53.74	174.95	526
1308815.TIF	16	0.03	41.59	192.70	513
1308815.TIF	17	0.02	48.21	267.64	357
1308815.TIF	18	0.02	35.31	144.14	314
1308815.TIF	19	0.02	46.60	262.36	478
1308815.TIF	20	0.02	67.99	286.46	909
1308815.TIF	21	0.02	66.87	198.72	410
1308815.TIF	22	0.01	59.89	363.09	1014
1308815.TIF	23	0.03	59.42	358.39	889
1308815.TIF	24	0.03	49.03	171.85	422
1308815.TIF	25	0.05	143.43	975.33	2607
1308815.TIF	26	0.05	48.89	280.25	462
1308815.TIF	27	0.07	45.43	170.49	455
1308815.TIF	28	0.19	47.91	191.76	440
1308815.TIF	29	0.02	44.88	169.07	612
1308815.TIF	30	0.15	33.37	211.74	314
1308815.TIF	31	0.04	49.78	187.01	548
1308815.TIF	32	0.10	53.56	189.62	331
1308816.TIF	1	0.04	58.44	242.41	441
1308816.TIF	2	0.03	38.45	173.36	377
1308816.TIF	3	0.01	48.67	209.13	704
1308816.TIF	4	0.01	44.86	205.83	380
1308816.TIF	5	0.01	54.94	320.90	644
1308816.TIF	6	0.00	40.64	248.41	390
1308816.TIF	7	0.02	43.40	201.99	580
1308816.TIF	8	0.03	39.62	170.33	353
1308816.TIF	9	0.04	51.61	306.98	570
1308816.TIF	10	0.01	35.98	202.68	463
1308816.TIF	11	0.01	49.69	176.71	312
1308816.TIF	12	0.14	38.81	126.37	756
1308816.TIF	13	0.04	31.95	225.66	301
1308816.TIF	14	0.03	75.97	368.50	785
1308816.TIF	15	0.04	40.39	140.56	338
1308816.TIF	16	0.01	34.21	235.36	331
1308816.TIF	17	0.02	94.58	463.62	846
1308816.TIF	18	0.28	30.92	147.54	303
1308817.TIF	1	0.03	58.11	184.43	859
1308817.TIF	2	0.04	43.02	200.40	401
1308817.TIF	3	0.04	36.97	166.37	379
1308817.TIF	4	0.07	37.53	135.43	309
1308817.TIF	5	0.04	51.63	173.58	362
1308817.TIF	6	0.37	54.54	198.73	740
1308817.TIF	7	0.06	33.29	120.86	353
1308817.TIF	8	0.06	61.09	409.34	2041
1308817.TIF	9	0.03	43.78	191.01	1257
1308817.TIF	10	0.11	31.35	119.21	551
1308817.TIF	11	0.01	65.23	226.09	365
1308817.TIF	12	0.01	34.80	247.75	531
1308817.TIF	13	0.04	45.81	266.46	527
1308817.TIF	14	0.02	54.06	165.09	308
1308817.TIF	15	0.02	44.35	234.82	506
1308817.TIF	16	0.11	46.72	140.09	313
1308817.TIF	17	0.74	37.63	127.93	365
1308817.TIF	18	0.07	51.29	170.87	345
1308817.TIF	19	0.01	40.84	146.52	645
1308817.TIF	20	0.04	44.38	228.67	353
1308817.TIF	21	0.09	65.43	225.12	951
1308817.TIF	22	0.02	37.80	207.33	355
1308817.TIF	23	0.02	39.82	249.43	397
1308817.TIF	24	0.05	31.68	138.77	491
1308817.TIF	25	0.15	60.40	224.52	1305
1308817.TIF	26	0.02	48.98	281.95	403
1308817.TIF	27	0.01	38.99	187.20	528
1308817.TIF	28	0.34	41.67	236.17	703
1308817.TIF	29	0.04	37.42	247.62	329
1308817.TIF	30	0.05	50.09	286.36	1154
1308817.TIF	31	0.01	49.22	297.26	511
1308817.TIF	32	0.04	76.89	509.82	812
1308817.TIF	33	0.20	68.00	192.45	305
1308817.TIF	34	0.24	40.98	157.71	798
1308817.TIF	35	0.06	33.96	168.60	426
1308817.TIF	36	0.03	53.58	189.93	488
1308817.TIF	37	0.05	42.63	199.65	390
1308817.TIF	38	0.37	58.31	195.36	707
1308817.TIF	39	0.08	58.86	207.82	364
1308817.TIF	40	0.05	50.25	257.25	458
1308818.TIF	1	0.21	40.03	147.92	558
1308818.TIF	2	0.28	38.20	206.12	554
1308818.TIF	3	0.03	43.75	245.88	472
1308818.TIF	4	0.07	42.34	124.80	327
1308818.TIF	5	0.03	40.02	234.20	392
1308818.TIF	6	0.02	46.24	284.19	672
1308818.TIF	7	0.03	40.99	283.74	461
1308818.TIF	8	0.07	40.87	136.03	725
1308818.TIF	9	0.01	30.48	187.13	379
1308818.TIF	10	0.13	47.11	221.26	486
1308818.TIF	11	0.01	82.96	354.06	934
1308818.TIF	12	0.03	56.87	217.00	432
1308818.TIF	13	0.34	46.56	249.55	619
1308818.TIF	14	0.01	77.89	540.62	973
1308818.TIF	15	0.03	39.47	148.86	349
1308818.TIF	16	0.62	34.56	113.36	335
1308818.TIF	17	0.04	32.84	169.42	361
1308818.TIF	18	0.01	49.47	219.35	393
1308818.TIF	19	0.09	38.46	147.41	541
1308818.TIF	20	0.03	42.21	213.58	542
1308818.TIF	21	0.04	37.01	218.05	636
1308818.TIF	22	0.01	47.90	161.58	1486
1308818.TIF	23	0.06	27.57	110.86	339
1308818.TIF	24	0.02	54.00	255.82	708
1308818.TIF	25	0.05	62.07	290.48	560
1308818.TIF	26	0.01	39.79	149.43	384
1308818.TIF	27	0.11	41.34	145.03	365
1308818.TIF	28	0.58	86.07	523.43	1418
1308818.TIF	29	0.01	98.32	1029.04	3343
1308818.TIF	30	0.07	41.28	238.18	336
1308818.TIF	31	0.05	53.85	209.80	355
1308818.TIF	32	0.07	41.75	171.59	332
1308818.TIF	33	0.07	47.30	299.92	621
1308818.TIF	34	0.01	50.62	240.89	382
1308818.TIF	35	0.42	34.58	122.10	442
1308818.TIF	36	0.02	34.24	170.00	302
1308818.TIF	37	0.11	45.75	220.33	411
1308818.TIF	38	0.01	31.58	111.23	309
1308818.TIF	39	0.16	46.28	265.66	559
1308819.TIF	1	0.00	35.43	290.38	459
1308819.TIF	2	0.19	50.91	259.26	786
1308819.TIF	3	0.13	46.35	209.43	325
1308819.TIF	4	0.08	32.89	162.92	333
1308819.TIF	5	0.90	45.01	228.93	860
1308819.TIF	6	0.04	69.07	449.27	896
1308819.TIF	7	0.56	69.60	333.05	1170
1308819.TIF	8	0.06	40.13	162.10	417
1308819.TIF	9	0.01	45.47	220.48	466
1308819.TIF	10	0.01	61.65	479.17	682
1308819.TIF	11	0.13	71.74	434.31	1377
1308819.TIF	12	0.36	36.56	158.53	761
1308819.TIF	13	0.03	45.98	348.08	798
1308819.TIF	14	0.02	42.11	213.74	405
1308819.TIF	15	0.00	27.22	154.68	304
1308819.TIF	16	0.01	39.81	281.41	537
1308819.TIF	17	0.10	61.82	249.01	738
1308819.TIF	18	0.04	35.41	177.12	575
1308819.TIF	19	0.03	40.09	178.49	366
1308819.TIF	20	0.09	57.41	224.90	569
1308819.TIF	21	0.09	41.02	297.97	793
1308819.TIF	22	0.18	52.98	308.35	1051
1308819.TIF	23	0.02	58.94	242.81	439
1308819.TIF	24	0.04	31.50	142.07	305
1308819.TIF	25	0.10	81.57	444.31	1494
1308819.TIF	26	0.01	46.98	182.26	311
1308819.TIF	27	0.18	36.96	105.24	496
1308819.TIF	28	0.14	37.69	163.79	305
1308819.TIF	29	0.95	52.98	213.11	776
1308819.TIF	30	0.05	56.39	191.89	454
1308819.TIF	31	0.06	63.80	327.55	1031
1308819.TIF	32	0.01	36.24	254.44	443
1308819.TIF	33	0.02	57.38	476.57	881
1308819.TIF	34	0.09	44.44	208.01	452
1308819.TIF	35	0.10	36.18	158.72	449
1308819.TIF	36	0.05	44.16	232.02	378
1308820.TIF	1	0.11	44.69	243.80	463
1308820.TIF	2	0.07	33.64	191.99	355
1308820.TIF	3	0.05	36.88	223.32	317
1308820.TIF	4	0.02	69.53	311.54	836
1308820.TIF	5	0.10	204.46	587.57	2301
1308820.TIF	6	0.10	38.55	225.08	686
1308820.TIF	7	0.06	30.99	156.14	492
1308820.TIF	8	0.02	40.54	193.71	511
1308820.TIF	9	0.20	127.23	596.65	2956
1308820.TIF	10	0.02	35.63	210.77	672
1308820.TIF	11	0.88	153.00	442.01	1337
1308820.TIF	12	0.04	50.98	426.64	452
1308820.TIF	13	0.10	176.87	472.44	2617
1308821.TIF	1	0.11	46.19	357.02	566
1308821.TIF	2	0.27	65.41	232.30	1093
1308821.TIF	3	0.01	48.28	240.40	459
1308821.TIF	4	0.26	54.23	268.16	1082
1308821.TIF	5	0.31	42.60	252.98	562
1308821.TIF	6	0.01	30.34	150.49	355
1308821.TIF	7	0.03	54.60	242.76	351
1308821.TIF	8	0.09	39.58	292.62	408
1308821.TIF	9	0.03	23.87	115.87	318
1308821.TIF	10	0.01	25.44	107.77	340
1308821.TIF	11	0.71	47.77	199.88	1355
1308821.TIF	12	0.10	65.35	228.09	357
1308821.TIF	13	0.23	62.19	202.88	2154
1308821.TIF	14	0.49	69.00	316.55	1462
1308821.TIF	15	0.01	49.06	180.33	1036
1308821.TIF	16	0.41	38.29	133.28	797
1308821.TIF	17	0.34	53.73	244.84	527
1308821.TIF	18	0.06	31.86	122.08	332
1308821.TIF	19	0.16	47.12	149.93	948
1308821.TIF	20	0.02	38.45	185.85	304
1308821.TIF	21	0.04	27.12	132.90	378
1308821.TIF	22	0.03	45.51	178.32	889
1308821.TIF	23	0.07	60.03	418.69	931
1308821.TIF	24	0.76	37.38	168.61	547
1308821.TIF	25	0.83	31.21	161.29	594
1308821.TIF	26	0.08	33.36	141.18	452
1308821.TIF	27	0.00	71.70	410.22	858
1308821.TIF	28	0.01	41.79	317.21	500
1308821.TIF	29	0.04	48.14	340.26	534
1308821.TIF	30	0.08	62.75	337.33	433
1308821.TIF	31	0.16	72.96	322.13	884
1308821.TIF	32	0.05	32.35	153.48	373
1308821.TIF	33	0.06	42.89	213.42	486
1308821.TIF	34	0.10	71.80	445.00	1686
1308821.TIF	35	0.10	41.01	248.29	495
1308821.TIF	36	0.07	35.94	157.43	590
1308821.TIF	37	0.12	60.55	257.20	424
1308822.TIF	1	0.19	47.73	192.65	342
1308822.TIF	2	0.08	41.40	238.31	479
1308822.TIF	3	0.11	58.13	312.05	577
1308822.TIF	4	0.02	34.09	168.30	369
1308822.TIF	5	0.21	43.27	215.00	367
1308822.TIF	6	0.09	40.12	217.13	381
1308822.TIF	7	0.11	49.90	210.62	734
1308822.TIF	8	0.08	36.70	139.58	421
1308822.TIF	9	0.02	52.36	244.21	664
1308822.TIF	10	0.06	27.63	112.24	413
1308822.TIF	11	0.03	37.15	212.48	383
1308822.TIF	12	0.06	44.21	159.34	328
1308822.TIF	13	0.01	58.89	296.81	723
1308822.TIF	14	0.36	27.09	119.29	321
1308822.TIF	15	0.03	27.61	101.38	340
1308822.TIF	16	0.14	29.89	122.19	315
1308822.TIF	17	0.00	42.87	174.74	317
1308822.TIF	18	0.10	36.96	160.99	382
1308822.TIF	19	0.16	57.19	223.03	492
1308822.TIF	20	0.03	40.00	206.98	356
1308822.TIF	21	0.01	82.02	353.70	540
1308822.TIF	22	0.09	43.90	209.81	368
1308822.TIF	23	0.01	83.71	599.12	840
1308822.TIF	24	0.20	36.54	187.32	575
1308822.TIF	25	0.15	29.26	123.70	306
1308822.TIF	26	0.18	38.09	203.88	501
1308822.TIF	27	0.14	75.18	364.28	638
1308822.TIF	28	0.04	62.86	309.67	838
1308822.TIF	29	0.17	63.55	333.40	1660
1308822.TIF	30	0.02	34.11	217.87	475
1308822.TIF	31	0.49	69.70	245.50	611
1308822.TIF	32	0.02	39.95	154.15	530
1308822.TIF	33	0.01	29.55	131.91	342
1308822.TIF	34	0.33	75.02	319.91	1016
1308822.TIF	35	0.03	36.73	219.84	318
1308822.TIF	36	0.05	38.85	185.08	664
1308822.TIF	37	0.27	32.97	146.38	348
1308822.TIF	38	0.10	63.32	608.50	889
1308822.TIF	39	0.02	36.32	238.98	333
1308822.TIF	40	0.05	46.73	251.43	381
1308823.TIF	1	0.11	42.31	180.38	309
1308823.TIF	2	0.01	55.22	294.13	492
1308823.TIF	3	0.03	61.20	389.93	748
1308823.TIF	4	0.03	43.77	143.72	701
1308823.TIF	5	0.18	82.74	529.92	1709
1308823.TIF	6	0.16	43.15	206.92	519
1308823.TIF	7	0.14	51.92	246.19	886
1308823.TIF	8	0.12	31.18	173.35	519
1308823.TIF	9	0.01	50.40	274.18	540
1308823.TIF	10	0.05	46.49	254.23	721
1308823.TIF	11	0.01	41.73	249.85	352
1308823.TIF	12	0.43	52.75	298.57	958
1308823.TIF	13	0.02	36.53	198.69	793
1308823.TIF	14	0.03	40.53	205.11	324
1308823.TIF	15	0.02	43.10	300.35	663
1308823.TIF	16	0.03	33.04	134.32	654
1308823.TIF	17	0.16	54.53	241.12	858
1308823.TIF	18	0.07	42.69	267.74	431
1308823.TIF	19	0.06	57.45	264.90	741
1308823.TIF	20	0.01	30.39	192.48	322
1308823.TIF	21	0.13	68.87	590.24	781
1308823.TIF	22	0.02	44.80	320.71	519
1308823.TIF	23	0.04	34.82	236.94	661
1308823.TIF	24	0.22	74.06	342.05	953
1308824.TIF	1	0.03	74.28	313.34	1648
1308824.TIF	2	0.03	42.40	168.56	328
1308824.TIF	3	0.01	65.47	349.00	1357
1308824.TIF	4	0.10	47.19	349.60	576
1308824.TIF	5	0.05	54.13	358.79	635
1308824.TIF	6	0.11	41.69	215.08	429
1308824.TIF	7	0.03	47.95	361.15	439
1308824.TIF	8	0.07	51.00	211.09	443
1308824.TIF	9	0.05	45.11	227.17	712
1308824.TIF	10	0.63	46.38	220.59	744
1308824.TIF	11	0.01	54.43	271.68	414
1308824.TIF	12	0.01	43.96	266.20	405
1308824.TIF	13	0.03	32.48	183.58	395
1308824.TIF	14	0.13	31.62	149.49	408
1308824.TIF	15	0.06	39.76	231.97	317
1308825.TIF	1	0.03	43.86	186.43	492
1308825.TIF	2	0.03	33.80	176.46	320
1308825.TIF	3	0.01	49.79	206.61	407
1308825.TIF	4	0.00	52.75	324.92	579
